model,epoch,average_loss,accuracy,correct_data,total_data,distance
13,71,0.5547265699656323,86.92929292929293,8606,9900,2.281878763580771
36,71,0.587968430519104,86.37373737373737,8551,9900,2.174501217180176
58,71,0.46981915926692464,88.41414141414141,8753,9900,2.264398598059709
71,71,0.5175545559507427,87.12121212121212,8625,9900,2.306685173515358
global,71,8.842940125128235,1.3838383838383839,137,9900
13,72,0.22193460047847094,94.28282828282828,9334,9900,2.064688937055487
36,72,0.232501794882495,94.08080808080808,9314,9900,1.9891763107690346
58,72,0.11755208086485815,96.88888888888889,9592,9900,2.148351383217253
71,72,0.29006154883991586,92.6969696969697,9177,9900,2.104865219440546
global,72,7.461252361259075,3.424242424242424,339,9900
13,73,0.3165261332916491,92.08080808080808,9116,9900,1.978763304983147
36,73,0.30687787944620304,92.03030303030303,9111,9900,1.959430252099267
58,73,0.2941734521015726,92.81818181818183,9189,9900,1.9654529150517446
71,73,0.1108358938916765,97.24242424242424,9627,9900,2.0833534494064634
global,73,6.389921070445667,6.888888888888889,682,9900
13,74,0.11501798445528204,97.11111111111111,9614,9900,1.9512671828261792
36,74,0.13134635687476456,96.4949494949495,9553,9900,1.9398592459358923
58,74,0.16134897016515634,95.70707070707071,9475,9900,2.062748287168316
71,74,0.1833155232487303,95.23232323232324,9428,9900,2.0112862427589167
global,74,5.5093365031541,11.464646464646465,1135,9900
13,75,0.21368722294316148,94.67676767676768,9373,9900,1.8758907109821057
36,75,0.2064867318338818,94.97979797979798,9403,9900,1.8240930158589421
58,75,0.1740472193318184,95.71717171717171,9476,9900,1.992319199939822
71,75,0.1040911012737438,97.12121212121212,9615,9900,1.937583367799869
global,75,4.673866017659505,18.181818181818183,1800,9900
13,76,0.22099229479076887,94.62626262626263,9368,9900,1.839838825713288
36,76,0.09765669050842825,97.57575757575758,9660,9900,1.7796463691171733
58,76,0.1427760257594513,96.2929292929293,9533,9900,1.9322750642651043
71,76,0.14500088352747637,96.1919191919192,9523,9900,1.963609675706099
global,76,3.9840877201581244,25.77777777777778,2552,9900
13,77,0.1004455585100434,97.36363636363636,9639,9900,1.8466650338400956
36,77,0.18859872249039736,95.16161616161615,9421,9900,1.7290621653159552
58,77,0.2023640044048579,94.88888888888889,9394,9900,1.8557694683325665
71,77,0.21947302860443038,94.31313131313132,9337,9900,1.8800786221073778
global,77,3.4576413580383916,32.91919191919192,3259,9900
13,78,0.20448482154595732,95.15151515151516,9420,9900,1.8154058511286488
36,78,0.20024156751054706,94.9090909090909,9396,9900,1.705567734240286
58,78,0.19729150201335097,94.83838383838383,9389,9900,1.8381296908394302
71,78,0.13526890104467218,96.55555555555554,9559,9900,1.8713871799455088
global,78,2.8860900940557923,40.75757575757576,4035,9900
13,79,0.17654768355567046,95.54545454545455,9459,9900,1.7826551282666676
36,79,0.19710440219953806,95.4040404040404,9445,9900,1.7669734700429005
58,79,0.349153141349253,90.95959595959596,9005,9900,1.819031031024607
71,79,0.346515865229597,90.61616161616162,8971,9900,1.8167364005024291
global,79,2.5339172817962337,46.63636363636364,4617,9900
13,80,0.13834758146844728,96.58585858585859,9562,9900,1.7586210976587922
36,80,0.11973935043570971,96.94949494949495,9598,9900,1.670905571927346
58,80,0.2712793477135475,93.18181818181817,9225,9900,1.7923847651982798
71,80,0.20178663250773843,94.87878787878788,9393,9900,1.8098841239129613
global,80,2.1601361253526474,53.141414141414145,5261,9900
