model,epoch,average_loss,accuracy,correct_data,total_data,distance
13,71,0.4353570357235995,89.37373737373737,8848,9900,2.292806226439184
36,71,0.7150370346416126,84.21212121212122,8337,9900,2.2508348399664158
58,71,0.42940701537662085,89.66666666666666,8877,9900,2.1786471382761587
71,71,0.5861212803619077,86.16161616161617,8530,9900,2.3030386506124034
global,71,8.921581094144571,1.3636363636363635,135,9900
13,72,0.2448649919394291,93.92929292929293,9299,9900,2.1558578798095693
36,72,0.16255169579477022,95.74747474747475,9479,9900,2.2107608576327547
58,72,0.31699831639877474,91.9090909090909,9099,9900,2.0617248928243086
71,72,0.2443254130055206,94.0,9306,9900,2.1968127788560996
global,72,7.652152694548019,3.3333333333333335,330,9900
13,73,0.1858904358112451,95.55555555555556,9460,9900,1.9929123700405507
36,73,0.1703246608421658,95.3030303030303,9435,9900,2.063201438229708
58,73,0.32778302045783614,92.07070707070707,9115,9900,2.0114048981512003
71,73,0.23369970685303812,93.86868686868686,9293,9900,2.180043509337876
global,73,6.485710498540088,6.95959595959596,689,9900
13,74,0.3672110152726222,90.82828282828282,8992,9900,1.9621826717136868
36,74,0.29903835498925413,92.08080808080808,9116,9900,1.9690597532707543
58,74,0.17425409820344712,95.57575757575758,9462,9900,1.958163423133835
71,74,0.25482631390142924,93.4949494949495,9256,9900,2.0862549958074967
global,74,5.954550247963029,9.646464646464645,955,9900
13,75,0.4300805051399,90.19191919191918,8929,9900,1.9208737378066938
36,75,0.25138262422397883,93.8080808080808,9287,9900,1.9847200949660229
58,75,0.22755797720918752,93.81818181818183,9288,9900,1.9377424642145404
71,75,0.3209773027294814,92.05050505050505,9113,9900,2.0496083420434075
global,75,5.241785561918008,14.323232323232324,1418,9900
13,76,0.19254539647487678,94.98989898989899,9404,9900,1.939274559751655
36,76,0.1617024185621377,95.93939393939394,9498,9900,1.9900933722055445
58,76,0.19726443863577314,95.17171717171718,9422,9900,1.806924729561805
71,76,0.20211907973193158,94.42424242424242,9348,9900,2.0188986047429203
global,76,4.556885138617622,20.83838383838384,2063,9900
13,77,0.15440659946263438,96.13131313131314,9517,9900,1.8199340033879312
36,77,0.3478312096451268,91.6969696969697,9078,9900,1.959298653461284
58,77,0.2629106522569753,93.04040404040404,9211,9900,1.7930066472455284
71,77,0.14380153997829467,96.27272727272728,9531,9900,1.9900621633548847
global,77,3.9257524879532633,28.333333333333332,2805,9900
13,78,0.15125076528149423,96.17171717171718,9521,9900,1.8254599422760533
36,78,0.197821648828309,94.94949494949495,9400,9900,1.8053458858266782
58,78,0.17787656943605404,95.60606060606061,9465,9900,1.7501561912589059
71,78,0.17007533555078988,95.67676767676768,9472,9900,1.9315445338957964
global,78,3.4581099323311237,34.88888888888889,3454,9900
13,79,0.15544996709835648,96.07070707070707,9511,9900,1.773035953451953
36,79,0.15798280520120053,95.79797979797979,9484,9900,1.8457032541749294
58,79,0.17977956771850587,95.17171717171718,9422,9900,1.7525438484441993
71,79,0.16629074560873436,95.75757575757575,9480,9900,1.8631003110031041
global,79,3.055970168450866,40.25252525252525,3985,9900
13,80,0.31641087300849685,92.5050505050505,9158,9900,1.7732532422304865
36,80,0.14349871547234178,96.2929292929293,9533,9900,1.8048168317682909
58,80,0.13435221057347577,96.45454545454545,9549,9900,1.7466388849907606
71,80,0.1442631279278283,96.47474747474747,9551,9900,1.8419625621391618
global,80,2.646274279970111,46.58585858585859,4612,9900
13,81,0.27156406869791977,93.01010101010101,9208,9900,1.756329194587778
36,81,0.1655415166628481,96.16161616161617,9520,9900,1.8041345979631755
58,81,0.25817426811565053,93.51515151515152,9258,9900,1.7291553757387002
71,81,0.22343566798802578,94.3030303030303,9336,9900,1.8596209836181707
global,81,2.396798544989692,50.474747474747474,4997,9900
13,82,0.16860646982385655,95.88888888888889,9493,9900,1.7062731004206197
36,82,0.12383303702178627,96.93939393939394,9597,9900,1.7523857611672644
58,82,0.0779005424384818,97.94949494949495,9697,9900,1.6863238863243362
71,82,0.44283836114286174,89.57575757575758,8868,9900,1.8496478518841402
global,82,2.094616920394127,55.54545454545454,5499,9900
13,83,0.22191907517837756,94.74747474747474,9380,9900,1.6494589438692846
36,83,0.12058811248853953,96.8080808080808,9584,9900,1.71612605159243
58,83,0.34842207730418506,91.18181818181819,9027,9900,1.6315722706225815
71,83,0.14821022734347017,96.32323232323232,9536,9900,1.7707343653530339
global,83,1.8899259178084558,59.59595959595959,5900,9900
13,84,0.2566309773319899,93.4040404040404,9247,9900,1.6528174620849765
