model,epoch,average_loss,accuracy,correct_data,total_data,distance
13,71,0.4408446723764593,89.20202020202021,8831,9900,2.293918081668409
36,71,0.7219881660769684,83.97979797979798,8314,9900,2.250453055650901
58,71,0.41970156029017286,89.95959595959596,8906,9900,2.1785427355161
71,71,0.6153674841408777,85.64646464646465,8479,9900,2.3027055914894246
global,71,9.886023297550702,0.6565656565656566,65,9900
13,72,0.17763774437133711,95.28282828282828,9433,9900,2.156840036352564
36,72,0.4046920963248821,89.81818181818181,8892,9900,2.2120348899462683
58,72,0.20949158132076262,94.74747474747474,9380,9900,2.2097005989982295
71,72,0.19066140119475547,94.65656565656566,9371,9900,2.35517954909293
global,72,9.596846800524778,0.6464646464646464,64,9900
13,73,0.21682145742454914,94.27272727272728,9333,9900,2.1116990461428715
36,73,0.08779383354641572,97.6161616161616,9664,9900,2.2064896450703073
58,73,0.18297462894458963,94.98989898989899,9404,9900,2.0929961484316815
71,73,0.1623938919257636,95.64646464646465,9469,9900,2.2638482855319624
global,73,9.431224645749488,0.6464646464646464,64,9900
13,74,0.5682681061041476,86.98989898989899,8612,9900,2.1157730839572215
36,74,0.10624245500436635,97.20202020202021,9623,9900,2.15234375
58,74,0.14794606276834854,95.94949494949495,9499,9900,2.087753362755939
71,74,0.3091159590085347,91.96969696969697,9105,9900,2.2663647726445815
global,74,9.626973935522214,0.595959595959596,59,9900
