model,epoch,average_loss,accuracy,correct_data,total_data,distance
13,71,0.4366826592551337,89.24242424242425,8835,9900,2.2942172912746823
36,71,0.7310062946936097,83.88888888888889,8305,9900,2.2514678617517996
58,71,0.4201981939450659,89.8989898989899,8900,9900,2.178375286679942
71,71,0.5986154644898694,85.98989898989899,8513,9900,2.3037337059069856
global,71,9.86033183704723,0.6464646464646464,64,9900
13,72,0.19536990931539824,94.84848484848484,9390,9900,2.155421553976832
36,72,0.41618608845604793,89.5959595959596,8870,9900,2.208129285586334
58,72,0.17225942928682675,95.60606060606061,9465,9900,2.2101996710494243
71,72,0.18549921560769128,94.8989898989899,9395,9900,2.3510259985806616
global,72,9.506880579476405,0.6767676767676768,67,9900
13,73,0.19549801739779385,94.77777777777779,9383,9900,2.111325076063074
36,73,0.07980779697196652,97.71717171717171,9674,9900,2.2010239125763515
58,73,0.1658479681279924,95.44444444444444,9449,9900,2.094278638917357
71,73,0.17339536062996797,95.32323232323232,9437,9900,2.254877631510668
global,73,9.381589466441762,0.595959595959596,59,9900
13,74,0.5635346537647825,87.23232323232322,8636,9900,2.1172487594919764
36,74,0.09871879145427785,97.45454545454545,9648,9900,2.144785270168801
58,74,0.14353773048429777,96.16161616161617,9520,9900,2.0927079297741478
71,74,0.26706201213778874,92.94949494949495,9202,9900,2.270479355500433
global,74,9.598254733615452,0.47474747474747475,47,9900
13,75,0.13096093250344498,96.4949494949495,9553,9900,2.137923269024368
36,75,0.11542728539970186,96.93939393939394,9597,9900,2.1476045970734683
58,75,0.16597503274077116,95.4949494949495,9454,9900,2.0997768601440105
71,75,0.17924307796088132,95.2929292929293,9434,9900,2.29756185421372
global,75,9.6700037330088,0.5151515151515151,51,9900
13,76,0.2156002014213138,94.61616161616162,9367,9900,2.163315186074215
36,76,0.19952201911897371,94.93939393939394,9399,9900,2.167538491933574
58,76,0.19584931341686634,94.78787878787878,9384,9900,2.053246518607621
71,76,0.19399709918884317,95.2020202020202,9425,9900,2.2860907836335818
global,76,9.598115493312026,0.6767676767676768,67,9900
13,77,0.19288143200103683,95.47474747474747,9452,9900,2.111852589556352
36,77,0.15567301100853717,96.12121212121212,9516,9900,2.168401011770069
58,77,0.15265963042926306,95.94949494949495,9499,9900,2.089071369936936
71,77,0.191168573661284,95.12121212121212,9417,9900,2.23787058313404
global,77,9.300555367517953,1.0303030303030303,102,9900
13,78,0.2203243642744392,94.5050505050505,9356,9900,2.093557548218495
36,78,0.20677196148670082,95.06060606060606,9411,9900,2.170202805319595
58,78,0.31024527845960675,92.22222222222223,9130,9900,2.047057049059276
71,78,0.11553674095206791,96.9090909090909,9594,9900,2.2494608974988255
global,78,9.184572911118016,1.1111111111111112,110,9900
13,79,0.2991153304263799,92.74747474747474,9182,9900,2.1034327697020636
36,79,0.235294684183718,94.47474747474747,9353,9900,2.1648878596206007
58,79,0.16177613322783,95.8080808080808,9485,9900,2.04921687450025
71,79,0.36421349470061487,90.67676767676768,8977,9900,2.2336117167649197
global,79,9.260606146918402,0.898989898989899,89,9900
13,80,0.12798733950112806,96.63636363636363,9567,9900,2.1344106646081187
36,80,0.07243592541928243,98.24242424242425,9726,9900,2.1975551024592597
58,80,0.39953457562610356,90.56565656565655,8966,9900,2.035003714968128
71,80,0.2651981182050223,93.07070707070707,9214,9900,2.2558767078609008
global,80,9.705957650849314,0.5757575757575757,57,9900
13,81,0.1670778699956759,95.98989898989899,9503,9900,2.113656114763769
36,81,0.3104310224513815,92.38383838383838,9146,9900,2.1678503055693623
58,81,0.19863746201450175,95.15151515151516,9420,9900,2.0627457443413477
71,81,0.20033221296589784,94.84848484848484,9390,9900,2.2768620133638247
global,81,9.785677838566327,0.5656565656565656,56,9900
13,82,0.18362362757776723,95.47474747474747,9452,9900,2.087503823830763
36,82,0.2696442610808093,93.36363636363636,9243,9900,2.195753820187315
58,82,0.1948914232458731,95.07070707070707,9412,9900,2.0394913379572217
71,82,0.17753872556517822,95.32323232323232,9437,9900,2.256566426498659
global,82,9.22313200363005,1.3030303030303032,129,9900
13,83,0.17411329378985396,95.70707070707071,9475,9900,2.127222245550312
36,83,0.06073497586930641,98.48484848484848,9750,9900,2.3053449307281086
58,83,0.14721772263447444,96.27272727272728,9531,9900,2.0815313429734865
71,83,0.07946703251714658,97.98989898989899,9701,9900,2.2567277566293864
global,83,8.703715838808002,1.9191919191919191,190,9900
13,84,0.23458966305761625,94.53535353535354,9359,9900,2.129937550341153
36,84,0.23461002396513717,94.36363636363636,9342,9900,2.1871414980715516
58,84,0.38940277798007233,90.37373737373737,8947,9900,2.0471353146955344
71,84,0.2774481584086563,92.7979797979798,9187,9900,2.2667960461922814
global,84,9.121720787587792,1.7272727272727273,171,9900
13,85,0.12541433109478517,96.73737373737373,9577,9900,2.1823428807284526
36,85,0.07013329234990207,98.21212121212122,9723,9900,2.270489961287352
58,85,0.20755980056945725,94.64646464646465,9370,9900,2.1152305426875486
71,85,0.2225270998417729,94.07070707070707,9313,9900,2.2876314761207346
global,85,9.503283259844538,1.3737373737373737,136,9900
