model,epoch,average_loss,accuracy,correct_data,total_data,distance
13,71,0.5625787426726987,86.81818181818181,8595,9900,2.2814727047422965
36,71,0.5991037713156806,86.12121212121212,8526,9900,2.173634646460611
58,71,0.4734849225872695,88.38383838383838,8750,9900,2.2640090967676305
71,71,0.5233245400708131,87.02020202020202,8615,9900,2.3053427589088495
global,71,8.837589046593868,1.3737373737373737,136,9900
13,72,0.23083581409069023,94.02020202020202,9308,9900,2.0671544586332122
36,72,0.22932765835463398,94.13131313131314,9319,9900,1.9896311795804436
58,72,0.11531389907454,96.93939393939394,9597,9900,2.1505612505749205
71,72,0.30102946344048087,92.44444444444444,9152,9900,2.105935690771917
global,72,7.4960940243499445,3.313131313131313,328,9900
13,73,0.31626546192650845,92.04040404040404,9112,9900,1.9786225089512317
36,73,0.3109361570531672,91.91919191919192,9100,9900,1.960957196505288
58,73,0.2966103653534494,92.7979797979798,9187,9900,1.9664582734771934
71,73,0.11374470559936581,97.13131313131314,9616,9900,2.083286043266173
global,73,6.415246850216027,6.686868686868687,662,9900
13,74,0.12577133024581755,96.84848484848484,9588,9900,1.9517529360335109
36,74,0.13406234781549434,96.38383838383838,9542,9900,1.940345889059333
58,74,0.16114136079345087,95.64646464646465,9469,9900,2.0655384224480975
71,74,0.19458003182603856,94.85858585858585,9391,9900,2.008614583984959
global,74,5.553002000288529,11.252525252525253,1114,9900
13,75,0.21835912327573756,94.5959595959596,9365,9900,1.8764597614506375
36,75,0.21832745540623713,94.67676767676768,9373,9900,1.8252523953169073
58,75,0.17392796840330568,95.66666666666667,9471,9900,1.9928553639827353
71,75,0.10057292051688589,97.23232323232324,9626,9900,1.939232390136549
global,75,4.712878675364485,17.68686868686869,1751,9900
13,76,0.22784304506850966,94.4949494949495,9355,9900,1.838611295280339
36,76,0.10309598767396176,97.44444444444444,9647,9900,1.7813344567337224
58,76,0.1498059387851243,96.16161616161617,9520,9900,1.9332883034866253
71,76,0.14587585239097325,96.14141414141415,9518,9900,1.9656619724987212
global,76,3.984175358011265,25.727272727272727,2547,9900
13,77,0.10643603475557434,97.22222222222221,9625,9900,1.8490463092630856
36,77,0.19236327344721013,95.07070707070707,9412,9900,1.728446174562571
58,77,0.19985166434687798,94.95959595959596,9401,9900,1.8568636820630233
71,77,0.22070376553920784,94.2020202020202,9326,9900,1.880600829293988
global,77,3.454103828198982,33.06060606060606,3273,9900
13,78,0.20015364529508534,95.32323232323232,9437,9900,1.81228064163327
36,78,0.19959587628191167,94.8989898989899,9395,9900,1.701911493947494
58,78,0.19416294952233631,94.95959595959596,9401,9900,1.8376301855563317
71,78,0.1439846149568606,96.31313131313132,9535,9900,1.8697591653051673
global,78,2.90933565852618,40.707070707070706,4030,9900
13,79,0.18355389051967197,95.32323232323232,9437,9900,1.7849331305237415
36,79,0.19742470442345647,95.3030303030303,9435,9900,1.7660302566364334
58,79,0.3778176994516392,90.25252525252525,8935,9900,1.8210420906401859
71,79,0.326090301263212,91.0909090909091,9018,9900,1.8204066698331443
global,79,2.5664311233674635,46.09090909090909,4563,9900
13,80,0.14178445594780373,96.5050505050505,9554,9900,1.7549869461878265
36,80,0.11778192359690715,97.01010101010101,9604,9900,1.671996923261303
58,80,0.2683098106071202,93.17171717171718,9224,9900,1.790009893251496
71,80,0.2192103970412052,94.34343434343434,9340,9900,1.8144984573269403
global,80,2.1880447356869475,52.77777777777778,5225,9900
13,81,0.0992500185394528,97.52525252525253,9655,9900,1.669112731143447
36,81,0.10440796907050441,97.3030303030303,9633,9900,1.6381467721271619
58,81,0.17482772219060647,95.31313131313132,9436,9900,1.7463638813565079
71,81,0.1710989783598919,95.55555555555556,9460,9900,1.7525488139495227
global,81,1.8827771628023398,58.18181818181818,5760,9900
13,82,0.23868905166182855,94.2020202020202,9326,9900,1.6806526427515498
36,82,0.13979654124966173,96.4949494949495,9553,9900,1.5947355327365595
58,82,0.4110073117535524,90.2121212121212,8931,9900,1.673247442485474
71,82,0.3108499132021509,91.74747474747474,9083,9900,1.7660417318154726
global,82,1.7117436264500474,61.42424242424242,6081,9900
13,83,0.10142885690084612,97.46464646464646,9649,9900,1.623453211042879
36,83,0.1298065716047028,96.63636363636363,9567,9900,1.599989476765359
58,83,0.44242076430657895,89.02020202020202,8813,9900,1.6799351709209835
71,83,0.050543958785746135,98.65656565656565,9767,9900,1.734676712873974
global,83,1.5132483831078116,65.31313131313131,6466,9900
13,84,0.1506696529550986,96.08080808080808,9512,9900,1.6285200141377274
36,84,0.11869206200946461,97.04040404040404,9607,9900,1.6186220007996859
58,84,0.3543561322279651,91.30303030303031,9039,9900,1.666286504621765
71,84,0.15269877889541664,96.01010101010101,9505,9900,1.7581860632790036
global,84,1.3186709644818546,69.13131313131314,6844,9900
13,85,0.12229212143204429,96.77777777777777,9581,9900,1.6077918997613567
36,85,0.22690379631639732,94.4040404040404,9346,9900,1.5828789594429489
58,85,0.32867604470012163,92.55555555555556,9163,9900,1.6586272974345515
71,85,0.1559841666016916,95.86868686868686,9491,9900,1.6994712203558344
